gene,category,rest_engagement,stim48_axis_proj,stim8_axis_proj
ANXA4,inflammatory,0.23286281526088715,0.46452710032463074,-0.2758468985557556
ANXA9,other,0.3101526200771332,-0.543799638748169,-0.1964196264743805
AP1AR,resting_sparing_suppressor,0.11361467093229294,-0.5796124339103699,-0.5246064066886902
AP1B1,inflammatory,0.11573212593793869,0.2685796320438385,-0.1517009288072586
AP1G2,other,0.031364165246486664,-0.2527392506599426,-0.5032863020896912
AP1M1,resting_sparing_suppressor,0.15132386982440948,-0.5823769569396973,-0.37273699045181274
AP1S1,damaging,0.38078129291534424,-0.03656671568751335,-0.4490881860256195
AP2A2,resting_sparing_suppressor,0.01282490137964487,-0.5740523338317871,-0.29911309480667114
AP3M1,other,0.1336568295955658,-0.2575381100177765,-0.10842407494783401
AP3M2,resting_sparing_suppressor,0.16426004469394684,-0.5311238169670105,-0.054642003029584885
AP3S2,damaging,0.34607118368148804,-0.5610865354537964,-0.2565697431564331
AP4B1,damaging,0.4126388430595398,0.28797754645347595,-0.30470433831214905
AP4E1,damaging,0.4258175492286682,-0.4637150168418884,0.05578189343214035
AP4S1,inflammatory,0.10288713872432709,0.22016772627830505,0.3096693754196167
APAF1,other,0.27752405405044556,-0.5747514367103577,0.3420226275920868
APBA2,other,0.0654217079281807,0.1391259878873825,0.4080885052680969
APBB1,other,0.28121551871299744,-0.6583924293518066,-0.4617644250392914
APEH,other,0.04120538383722305,0.1060047298669815,-0.43218469619750977
APEX1,damaging,0.3549606502056122,-0.05704539641737938,-0.4108937978744507
APH1B,inflammatory,0.08481332659721375,0.580867350101471,0.10142898559570312
API5,other,0.10878819227218628,-0.32419708371162415,-0.4855540096759796
APLP2,inflammatory,0.08872029185295105,0.4097243845462799,0.4541901648044586
APMAP,resting_sparing_suppressor,0.12829813361167908,-0.6300984621047974,-0.2998046278953552
APOA1,damaging,0.40470805764198303,0.4060978293418884,-0.37363243103027344
APOBEC3A,inflammatory,0.12252839654684067,0.34317657351493835,0.29341259598731995
APOBEC3B,other,0.16505585610866547,-0.21516607701778412,-0.12804682552814484
APOBEC3C,inflammatory,0.006632485892623663,0.26704421639442444,-0.20534648001194
APOBEC3F,inflammatory,0.22267648577690125,0.24553737044334412,0.23019525408744812
APOBEC3G,other,0.05933040380477905,-0.10236664116382599,-0.1399146020412445
APOBEC3H,other,0.2624772787094116,-0.6683462858200073,-0.2750561237335205
APOBR,resting_sparing_suppressor,0.12175561487674713,-0.5396691560745239,-0.28313708305358887
APOC1,other,0.22038871049880981,-0.4007831811904907,-0.15029676258563995
APOD,damaging,0.39313605427742004,-0.23852232098579407,0.4631555378437042
APOL1,damaging,0.3720614016056061,-0.6974383592605591,-0.5435365438461304
APOL2,other,0.15685881674289703,-0.27457481622695923,-0.47561246156692505
APOOL,other,0.27128300070762634,-0.5875673294067383,-0.2556705176830292
APP,resting_sparing_suppressor,0.16661566495895386,-0.5524647235870361,-0.48335838317871094
APPBP2,inflammatory,0.0935608297586441,0.2502739727497101,-0.23408804833889008
APRT,other,0.06478874385356903,0.056099433451890945,-0.03146566450595856
APTX,other,0.22133202850818634,-0.09775633364915848,-0.5957789421081543
AQP11,damaging,0.39056265354156494,0.14861997961997986,-0.42283201217651367
AR,inflammatory,0.015148754231631756,0.3696380853652954,0.2207821160554886
ARC,other,0.24201734364032745,-0.03487260267138481,0.0018323352560400963
