gene,condition,EN_D1,EN_D4
ATF7IP2,Rest,7.498905181884766,4.782876968383789
ATG10,Rest,7.047539234161377,5.762686252593994
ATG101,Rest,5.292561054229736,5.107324123382568
ATG12,Rest,6.885374069213867,5.92189359664917
ATG16L2,Rest,7.446628093719482,5.345761299133301
ATG2A,Rest,6.311715602874756,4.956719398498535
ATG3,Rest,7.2642364501953125,5.867684841156006
ATG4C,Rest,7.151932239532471,5.892429828643799
ATG4D,Rest,7.012328147888184,5.522240161895752
ATG5,Rest,7.3973307609558105,6.010143280029297
ATG7,Rest,7.552701473236084,6.077367305755615
ATG9B,Rest,7.050415992736816,5.482640266418457
ATL3,Rest,7.4742937088012695,5.079658508300781
ATM,Rest,4.747921466827393,5.91178035736084
ATN1,Rest,6.475708484649658,5.576798439025879
ATOH7,Rest,6.938925266265869,5.464153289794922
ATOH8,Rest,7.006340503692627,5.04295539855957
ATOX1,Rest,6.979989528656006,5.375317096710205
ATP10D,Rest,6.721156120300293,4.904784202575684
ATP13A1,Rest,7.680495738983154,5.558421611785889
ATP13A2,Rest,7.028630256652832,5.074427127838135
ATP13A3,Rest,6.995812892913818,5.7444305419921875
ATP1B1,Rest,7.042082786560059,4.942628860473633
ATP23,Rest,7.195247650146484,5.926385402679443
ATP2A2,Rest,5.526420593261719,5.458917617797852
ATP2A3,Rest,5.934896945953369,5.162258625030518
ATP5F1A,Rest,4.400045394897461,5.470423221588135
ATP5IF1,Rest,5.826998233795166,5.584961414337158
ATP5MC1,Rest,7.02139949798584,5.144795894622803
ATP5ME,Rest,7.050319671630859,5.327790260314941
ATP5MF,Rest,6.919700622558594,5.541367053985596
ATP6V0A1,Rest,3.4818878173828125,5.635036945343018
ATP6V0E1,Rest,7.049753189086914,5.368226051330566
ATP6V1C2,Rest,6.155533313751221,5.274184703826904
ATP6V1E2,Rest,7.093708038330078,5.669607162475586
