perturbation,line,state,EN_mean,EN_lo,EN_hi,argmin_mean,argmin_lo,argmin_hi,rstar_mean,rstar_lo,rstar_hi,splithalf_rho_EN,splithalf_rho_argmin,occ_entropy,state_div,cell_disp,effect_size,n_de,n_cells
ATP6V0D1,k562,S,5.9554,5.7669,6.1534,5.6,5.0,6.0,5.333,5.0,6.0,0.9481,0.831,0.915,0.00479,0.13535,1.8516,46,88
ATP6V0D1,k562,G2M,6.0295,5.8094,6.2667,5.667,5.0,6.0,5.4,5.0,6.0,0.9554,0.8305,0.915,0.00479,0.13535,1.8516,46,88
ATP6V1C1,k562,G1,6.0884,5.9924,6.1868,5.333,5.0,7.3,5.267,5.0,7.3,0.9692,0.8496,0.8494,0.0003,0.1311,2.3274,116,55
ATP6V1C1,k562,S,6.0751,5.8371,6.4033,5.733,4.0,8.0,5.333,4.0,8.0,0.9481,0.831,0.8494,0.0003,0.1311,2.3274,116,55
ATP6V1C1,k562,G2M,6.095,5.9712,6.3306,5.533,3.7,8.0,5.333,3.7,8.0,0.9554,0.8305,0.8494,0.0003,0.1311,2.3274,116,55
ATP6V1D,k562,G1,5.1786,5.1052,5.265,5.0,5.0,5.0,5.0,5.0,5.0,0.9692,0.8496,0.9411,0.00742,0.13647,1.6811,30,125
ATP6V1D,k562,S,5.1088,4.5782,5.3414,5.133,5.0,6.0,5.067,5.0,5.65,0.9481,0.831,0.9411,0.00742,0.13647,1.6811,30,125
ATP6V1D,k562,G2M,5.1903,4.9629,5.3353,5.067,5.0,5.65,5.067,5.0,5.65,0.9554,0.8305,0.9411,0.00742,0.13647,1.6811,30,125
ATP6V1H,k562,G1,5.5183,5.3706,5.6502,6.0,6.0,6.0,6.0,6.0,6.0,0.9692,0.8496,0.9125,0.0272,0.14727,2.4798,144,77
ATP6V1H,k562,S,5.6221,5.4305,5.8301,6.0,6.0,6.0,6.0,6.0,6.0,0.9481,0.831,0.9125,0.0272,0.14727,2.4798,144,77
ATP6V1H,k562,G2M,5.5603,5.357,5.7518,6.0,6.0,6.0,6.0,6.0,6.0,0.9554,0.8305,0.9125,0.0272,0.14727,2.4798,144,77
ATR,k562,G1,4.1823,3.7468,4.6775,1.0,1.0,1.0,1.0,1.0,1.0,0.9692,0.8496,0.8647,0.01439,0.13856,2.3329,132,133
ATR,k562,S,4.269,3.8802,4.7636,1.4,1.0,4.9,1.4,1.0,4.9,0.9481,0.831,0.8647,0.01439,0.13856,2.3329,132,133
ATR,k562,G2M,4.4212,4.1744,4.7541,1.4,1.0,4.9,1.4,1.0,4.9,0.9554,0.8305,0.8647,0.01439,0.13856,2.3329,132,133
ATRIP,k562,G1,5.3018,4.854,5.5768,6.0,6.0,6.0,6.0,6.0,6.0,0.9692,0.8496,0.8886,0.01615,0.13723,1.8936,63,183
ATRIP,k562,S,5.2032,4.7839,5.7629,6.0,6.0,6.0,6.0,6.0,6.0,0.9481,0.831,0.8886,0.01615,0.13723,1.8936,63,183
ATRIP,k562,G2M,5.1826,4.9397,5.4575,6.0,6.0,6.0,6.0,6.0,6.0,0.9554,0.8305,0.8886,0.01615,0.13723,1.8936,63,183
AURKA,k562,G1,5.7716,5.5411,5.9505,7.0,7.0,7.0,7.0,7.0,7.0,0.9692,0.8496,0.9886,0.00976,0.14227,3.0897,213,49
AURKA,k562,S,5.9138,5.6594,6.5113,7.0,7.0,7.0,7.0,7.0,7.0,0.9481,0.831,0.9886,0.00976,0.14227,3.0897,213,49
AURKA,k562,G2M,5.9842,5.7525,6.3995,7.0,7.0,7.0,7.0,7.0,7.0,0.9554,0.8305,0.9886,0.00976,0.14227,3.0897,213,49
BARD1,k562,G1,6.2884,5.9905,6.4455,3.667,3.0,4.65,3.2,3.0,4.0,0.9692,0.8496,0.9247,0.00158,0.12897,1.4334,13,135
BARD1,k562,S,6.3007,5.9827,6.5804,3.333,3.0,4.0,3.067,3.0,3.65,0.9481,0.831,0.9247,0.00158,0.12897,1.4334,13,135
BARD1,k562,G2M,6.3729,6.1081,6.6529,3.333,3.0,4.65,3.067,3.0,3.65,0.9554,0.8305,0.9247,0.00158,0.12897,1.4334,13,135
BCLAF1,k562,G1,6.1782,5.8571,6.5047,7.0,7.0,7.0,7.0,7.0,7.0,0.9692,0.8496,1.0116,0.01204,0.13627,2.6265,185,46
BCLAF1,k562,S,6.1078,5.6685,6.3735,7.0,7.0,7.0,7.0,7.0,7.0,0.9481,0.831,1.0116,0.01204,0.13627,2.6265,185,46
BCLAF1,k562,G2M,6.1666,5.6974,6.6255,7.0,7.0,7.0,7.0,7.0,7.0,0.9554,0.8305,1.0116,0.01204,0.13627,2.6265,185,46
BCS1L,k562,G1,6.4507,6.3283,6.5934,7.0,7.0,7.0,7.0,7.0,7.0,0.9692,0.8496,0.907,0.00211,0.13254,2.0275,68,68
BCS1L,k562,S,6.4955,6.3222,6.64,7.0,7.0,7.0,7.0,7.0,7.0,0.9481,0.831,0.907,0.00211,0.13254,2.0275,68,68
BCS1L,k562,G2M,6.4737,6.3685,6.62,7.0,7.0,7.0,7.0,7.0,7.0,0.9554,0.8305,0.907,0.00211,0.13254,2.0275,68,68
BDP1,k562,G1,5.5218,5.3499,5.7032,1.533,1.0,2.0,1.533,1.0,2.0,0.9692,0.8496,1.0756,0.03385,0.15747,3.0718,206,277
BDP1,k562,S,5.5675,5.3103,5.8877,1.733,1.0,2.0,1.733,1.0,2.0,0.9481,0.831,1.0756,0.03385,0.15747,3.0718,206,277
