perturbation,EN_learned,argmin_depth,effect_size
NDUFB4,3.0,8.0,1.786
NDUFB6,3.0,8.0,1.4002
NDUFB7,3.0,4.0,2.2277
NDUFB8,3.0,6.333,1.6375
NDUFS3,3.0,1.833,1.8487
NEDD8,3.0,6.0,3.7454
NELFA,3.0,6.0,3.6808
NELFB,3.0,6.0,2.9629
NELFCD,3.0,6.0,2.3874
NELFE,3.0,6.0,2.9569
NEMF,3.0,7.333,2.4187
NEPRO,3.0,3.0,4.518
NFATC2IP,3.0,5.0,1.5739
NFRKB,3.0,1.0,2.1306
NHLRC2,3.0,1.0,1.7389
NIFK,3.0,2.0,4.1864
NIP7,3.0,7.0,3.217
NISCH,3.0,7.0,1.4576
NKAP,3.0,5.0,3.8529
NLE1,3.0,2.0,3.611
NMD3,3.0,2.0,3.3892
NOB1,3.0,4.167,3.4941
NOC3L,3.0,4.5,3.4441
NOC4L,3.0,5.0,4.7302
NOL12,3.0,2.0,2.9122
NOL7,3.0,7.0,2.5174
NOL8,3.0,2.0,3.2866
NOLC1,3.0,8.0,1.9866
NOM1,3.0,8.0,3.288
NOP10,3.0,8.0,2.4749
NOP14,3.0,6.167,4.5854
NOP16,3.0,2.0,3.8828
NPLOC4,3.0,5.0,6.2215
NPM3,3.0,7.333,2.2877
NRBP1,3.0,5.0,3.3559
NSL1,3.0,7.833,2.5339
NSMCE1,3.0,7.0,2.1745
NSMCE2,3.0,4.833,1.5684
NSUN4,3.0,5.0,1.3897
NUDC,3.0,1.0,2.3155
NUDCD3,3.0,7.0,2.7146
NUFIP1,3.0,7.0,2.5765
NUP214,3.0,8.0,2.1667
NUP35,3.0,8.0,2.3231
NUP54,3.0,6.0,3.987
NUP62,3.0,6.0,6.642
NUP85,3.0,6.0,3.4138
NUP88,3.0,6.0,4.9957
NVL,3.0,2.0,2.9584
OGFOD1,3.0,2.0,3.7774
OPA1,3.0,5.0,3.2266
ORC4,3.0,7.167,1.8452
ORC5,3.0,8.0,2.2352
OSGEP,3.0,5.667,2.0226
OSTC,3.0,2.667,1.2909
OXA1L,3.0,5.0,3.4179
PABPN1,3.0,1.0,4.1876
PAF1,3.0,6.0,6.917
PAM16,3.0,2.0,5.2489
PARN,3.0,3.0,1.7219
PAXBP1,3.0,4.333,3.4861
PCBP1,3.0,1.0,2.5318
PCNA,3.0,5.0,5.729
PDAP1,3.0,5.333,3.6878
PDCD11,3.0,6.333,5.1466
PDCD2,3.0,4.0,2.9927
PDCD6,3.0,8.0,1.2353
PDPK1,3.0,8.0,2.3318
PELP1,3.0,1.0,3.8371
PES1,3.0,2.0,4.1123
PET117,3.0,6.0,2.2249
PFDN1,3.0,7.0,3.1466
PFDN2,3.0,2.0,4.1854
PFDN4,3.0,5.0,3.1775
PFDN5,3.0,5.0,1.5751
PFDN6,3.0,7.0,1.9415
PFN1,3.0,8.0,2.5229
PGAM1,3.0,8.0,2.0847
PGD,3.0,2.833,2.9216
PGK1,3.0,8.0,3.4985
PGS1,3.0,6.0,1.8154
PHB2,3.0,3.0,8.6043
PIK3C3,3.0,7.0,1.6054
PIK3R4,3.0,4.0,1.9638
PKMYT1,3.0,7.0,1.9003
PLK4,3.0,7.167,3.5045
PMF1,3.0,1.0,2.1454
PMPCA,3.0,2.0,3.4842
PMPCB,3.0,2.0,4.4314
PNKP,3.0,7.333,1.2256
PNN,3.0,6.0,3.9105
PNPT1,3.0,4.5,4.2825
POGZ,3.0,5.333,2.7646
POLD1,3.0,6.0,3.5525
POLD2,3.0,6.0,3.3573
POLD3,3.0,6.0,3.6218
POLE,3.0,5.667,3.8558
POLR1A,3.0,2.833,3.9572
POLR1B,3.0,4.0,5.166
POLR1E,3.0,8.0,2.5037
POLR2G,3.0,3.333,6.5485
POLR2H,3.0,2.0,6.825
